v5_1_id,source_row,domain,feature,description,implementation_directive,source_checkbox,v5_1_phase,v5_1_priority,v5_1_repo,backend_status,frontend_status,integration_status,e2e_status,product_accessibility,overall_status,product_value,launch_dependency,technical_dependencies,risk,effort,missing,recommended_wave,evidence_backend,evidence_frontend,evidence_tests
V51-011,12,Auth & comptes,Protection routes dashboard,Bloquer l’accès aux zones privées non authentifiées.,Middleware + requireAuth serveur + gestion redirection.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-012,13,Auth & comptes,Rate limit auth spécifique,"Limiter login, forgot password et resend verification.",Configurer throttling fin par endpoint.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,API-owned HTTP-only session; transactional email delivery for verification/reset paths,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/auth/auth.controller.ts; src/modules/auth/auth.service.ts; src/modules/auth/user.schema.ts,src/app/(auth); src/features/auth; src/contexts/AuthContext.tsx,src/modules/auth/*.spec.ts; e2e/functional/auth.spec.ts; e2e/functional/zz-session-cycle.spec.ts
V51-013,14,Rôles & permissions,Sélection rôle principal,"Choisir organisateur, prestataire, gestionnaire de lieu ou participant à l’inscription.",Exclure admin de l’inscription publique.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Authenticated user roles; server guards; stable role routing,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-014,15,Rôles & permissions,Multi-rôles utilisateur,Un compte peut cumuler plusieurs rôles.,Stocker roles[] et construire permissions dynamiquement.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,Authenticated user roles; server guards; stable role routing,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-015,16,Rôles & permissions,Ajout nouveau rôle,Ajouter un rôle depuis les paramètres.,Créer endpoint contrôlé et onboarding associé.,☐,MVP,Critique,API/Web,BACKEND_ABSENT,FRONTEND_PLACEHOLDER,NOT_INTEGRATED,WEB_COMPONENT_ONLY,PLACEHOLDER,PLACEHOLDER,HIGH,DESIRABLE,Authenticated user roles; server guards; stable role routing,LOW,M,Pricing link is a placeholder and there is no endpoint that adds a role to an existing account.,G — Account lifecycle & settings,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-016,17,Rôles & permissions,Sidebar dynamique,Afficher les sections selon les rôles actifs.,Mapper roles[] vers navigation dashboard.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Authenticated user roles; server guards; stable role routing,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-017,18,Rôles & permissions,Guard par rôle API,Protéger endpoints selon rôles requis.,JwtAuthGuard + RolesGuard global.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Authenticated user roles; server guards; stable role routing,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-018,19,Rôles & permissions,Ownership events,Empêcher un utilisateur d’agir sur les événements d’un autre.,Contrôle service systématique avant mutation.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Authenticated user roles; server guards; stable role routing,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-019,20,Rôles & permissions,Ownership vendors requests,Empêcher les demandes prestataires sur événements non possédés.,Vérifier organizer === user.id.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Authenticated user roles; server guards; stable role routing,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-020,21,Rôles & permissions,Ownership venue bookings,Empêcher les réservations de lieux sur événements non possédés.,Vérifier event organizer avant création/modification.,☐,MVP,Critique,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Authenticated user roles; server guards; stable role routing,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/shared/decorators/roles.decorator.ts; src/shared/guards; modules events/vendors/venues,src/shared/layout/sidebar-nav.ts; src/shared/guards/RoleGuard.tsx,test/admin-authorization.e2e-spec.ts; e2e/functional/wave-a-mobile-roles.spec.ts; wave-a-role-journeys.spec.ts
V51-021,22,Événements,Créer événement draft,Créer un événement brouillon avec données minimales.,"DTO strict, organizer automatique, statut draft.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-022,23,Événements,Modifier événement,Mettre à jour les informations d’un événement.,"Aligner API/Web sur PUT ou PATCH, vérifier ownership.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-023,24,Événements,Supprimer brouillon,Supprimer uniquement un événement en draft.,Refuser suppression si published/ongoing/completed/cancelled.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-024,25,Événements,Publier événement,Rendre un événement visible publiquement.,Vérifier champs requis et status transition draft→published.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-025,26,Événements,Annuler événement simple,Annuler un événement publié.,Passer à cancelled et notifier parties prenantes.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_ABSENT,NOT_INTEGRATED,API_E2E_ONLY,NOT_ACCESSIBLE,BACKEND_ONLY,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,MEDIUM,M,Cancellation exists in the API but is not exposed by the organizer UI.,I — Event operations completion,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-026,27,Événements,Annulation avec remboursements,Annuler et rembourser automatiquement les billets payés.,Workflow Stripe refund + notifications + état tickets.,☐,MVP,Haute,API/Web,BACKEND_ABSENT,FRONTEND_ABSENT,NOT_INTEGRATED,NO_TEST,NOT_ACCESSIBLE,ABSENT,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,MEDIUM,L,No event-cancellation orchestration performs ticket refunds.,K — Payment readiness & cancellations,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-027,28,Événements,Slug automatique,Générer une URL lisible et unique.,Slugify + suffixe anti-collision.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-028,29,Événements,Page publique événement,Afficher les détails d’un événement publié.,N’exposer que published + public.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-029,30,Événements,Confidentialité événements,"Masquer drafts, private et unlisted des endpoints publics.","Filtrer côté service, tests de non-exposition.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-030,31,Événements,Statuts événement complets,"Gérer draft, published, ongoing, completed, cancelled.",Ajouter enum complet et transitions validées.,☐,MVP,Haute,API/Web,BACKEND_PARTIAL,FRONTEND_PARTIAL,PARTIALLY_INTEGRATED,E2E_PARTIAL,ROLE_ACCESSIBLE,PARTIAL,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,LOW,M,"Core statuses exist, but cancellation is not exposed and automatic completion is absent.",I — Event operations completion,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-031,32,Événements,Clôture automatique,Passer les événements passés à completed.,Cron job sécurisé et idempotent.,☐,MVP,Haute,API/Web,BACKEND_ABSENT,FRONTEND_ABSENT,NOT_INTEGRATED,NO_TEST,NOT_ACCESSIBLE,ABSENT,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,MEDIUM,L,No scheduler or domain transition automatically closes past events.,I — Event operations completion,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-032,33,Événements,Parcours 6 étapes,"Créer, équiper, lieu, vendre, gérer, diffuser, valider.",Modéliser progression et CTA contextuels.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-033,34,Événements,Indicateur de complétion,Afficher l’avancement de préparation d’un événement.,Calcul backend ou frontend selon ressources associées.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-034,35,Événements,Rattacher prestataires,Associer prestataires platform/manual/external à un événement.,Supporter source et externalContact.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-035,36,Événements,Rattacher lieux,Associer lieu platform/manual/external à un événement.,Supporter réservation ou rattachement informatif.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,LOW,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-036,37,Événements,Hub événement organisateur,Centraliser toutes les actions de l’événement.,UI dashboard avec cartes et actions contextuelles.,☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,Event domain; ownership; Access V2; media and venue/provider contracts,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-037,38,Événements,Formulaire création 5 étapes,Étendre le wizard de 3 à 5 étapes.,Garder parcours non bloquant et sauvegarde progressive.,☐,MVP,Haute,API/Web,N/A,N/A,N/A,N/A,N/A,OUT_OF_SCOPE,HIGH,DESIRABLE,Event domain; ownership; Access V2; media and venue/provider contracts,LOW,M,Superseded by the current validated six-step wizard; the source plan contains contradictory five- and six-step rows.,No wave — superseded by six-step wizard,src/modules/events/events.controller.ts; events.service.ts; event.schema.ts; event-access.service.ts,src/components/events/create; src/components/events/organizer; src/app/(dashboard)/tableau-de-bord/evenements,src/modules/events/*.spec.ts; e2e/functional/event-lifecycle.spec.ts; event-workspace.spec.ts
V51-038,39,Prestataires,Créer profil prestataire,Permettre à un prestataire de créer son profil.,"DTO strict, un profil par user.",☐,MVP,Haute,API/Web,BACKEND_COMPLETE,FRONTEND_COMPLETE,INTEGRATED,E2E_COMPLETE,ROLE_ACCESSIBLE,IMPLEMENTED,CRITICAL,BLOCKER,VendorProfile; organizer-owned VendorRequest lifecycle; notification/email producers,HIGH,N/A,None material for the v5.1 row as scoped.,Maintenance only,src/modules/vendors/vendors.controller.ts; vendors.service.ts; vendor.schema.ts,src/app/(dashboard)/tableau-de-bord/prestataire; src/features/vendors; public/prestataires,src/modules/vendors/*.spec.ts; e2e/functional/wave-a-role-journeys.spec.ts
