id,domaine,severite,statut,titre,preuve,impact,reproduction,cause,recommandation,effort,fichier,ligne
F-015,tests/securite,P2,corrige_lot0,Compte QA (E2E_TEST_EMAIL) inexistant en dev -> phases authentifiees bloquees,POST /auth/login => 401 INVALID_CREDENTIALS; requete Mongo users email=E2E_TEST_EMAIL => found:false (0/13); domaine .env=@elintys.com alors que tous les users dev sont @elintys.ca,"Impossible d executer QA visuelle authentifiee, IDOR cross-user, flux organisateur en conditions reelles; E2E authentifies non reproductibles",cd Elintys-web && curl POST /auth/login avec creds .env => 401,Email QA errone (.com vs .ca) ou compte non seede dans ce cluster dev,Fournir un compte de test valide OU seeder (non destructif) un compte QA; corriger E2E_TEST_EMAIL,S,Elintys-web/.env,0
F-016,base_de_donnees,P2,corrige_lot3,Access V2: 7/8 evenements sans accessModelVersion (legacy non migres),"Mongo events: accessModelVersion distribution {null:7, 2:1}; 7 events WITHOUT accessModelVersion; migrate-event-access-v2 non applique au dev",L enforcement d acces recemment livre s execute sur un dataset majoritairement legacy; comportement d acces potentiellement incoherent selon la version,node mongo-inspect.js => distribution,Script event-access:migrate non execute sur ce cluster,"Executer le dry-run de la migration, verifier la retrocompat du policy pour version null, puis migrer",M,Elintys-api/src/scripts/migrate-event-access-v2.ts,0
F-017,securite/robustesse,P2,corrige_lot1,500 non gere sur tout champ string @Transform(trim) recevant un objet (DoS/erreurs en masse),POST /auth/login /auth/forgot-password /waitlist /auth/register avec email={\$ne:x} => HTTP 500 'erreur interne'; login.dto.ts:@Transform(value?.trim().toLowerCase()) s execute avant validation; ~58 usages .trim() dans les DTO,"Attaquant non authentifie declenche des 500 a volonte sur tous les POST publics -> pollution logs/observabilite, vecteur DoS applicatif leger; PAS d injection NoSQL (l objet n atteint pas Mongoose)","curl -X POST /api/v1/auth/login -d '{\email\"":{\""\$ne\"":\""x\""}","\""password\"":\""y\""}' => 500""",@Transform trim/toLowerCase suppose une string et s execute avant class-validator; value?. ne protege pas contre un objet,Garder le transform type-safe: typeof value==='string' ? value.trim().toLowerCase() : value; valider avant transformer,S,Elintys-api/src/modules/auth/dto/login.dto.ts,7
F-018,securite,P0-neg,confirme,"POSITIF: enforcement API solide (guards 401, headers helmet complets, pas d enumeration user)","9/9 endpoints proteges => 401 sans cookie; helmet: CSP default-src self, HSTS, X-Frame SAMEORIGIN, nosniff, Referrer no-referrer, COOP/CORP; login wrong creds => 401 INVALID_CREDENTIALS identique (pas d enumeration)",Base de securite serveur saine: pas de fuite de donnees via F-001; en-tetes durcis,curl matrices ci-dessus,Bonne conception guards globaux + helmet,Maintenir; ne pas relacher,-,Elintys-api/src/main.ts,32
F-019,performance/securite,P2,corrige_lot1,Throttle unique 100 req/60s mal calibre: la zone publique se fait 429 sous faible charge,"k6 (10 VUs read-only) => apres ~100 req, 96.94% des reponses = 429 ThrottlerException; GET /events /discovery/* => 429 pendant la fenetre; une vue de page publique declenche plusieurs appels API",Navigation publique legitime bloquee (429) sous faible charge ou par un simple crawler; meme limite pour reads publics que pour mutations/auth,k6 run load.js puis curl GET /discovery/featured => 429,"ThrottlerModule.forRoot unique global 100/60s, aucun tier par type de route","Definir des tiers: genereux pour reads publics, strict pour /auth et mutations (cf F-002)",M,Elintys-api/src/app.module.ts,47
F-020,api/coherence,P3,confirme,Incoherence /events/categories: data vide mais total=5,"GET /api/v1/events/categories => {\data\"":[]","\""total\"":5}""",Contrat API incoherent (total != longueur data); front peut afficher un compteur faux,curl /api/v1/events/categories,Comptage decorrele du contenu retourne (ou categories non peuplees),"Aligner total sur data reellement retourne, ou documenter la semantique",S,Elintys-api/src/modules/events,0
F-021,performance,P3,confirme,Latence locale avec outliers (max ~1s) sur reads catalog vers Atlas,k6: http_req_duration expected_response p95=235ms med=102ms max=1.03s (LOCAL vers Mongo Atlas dev),"Sur Render free (cold start, region ohio) la latence reelle sera nettement pire; outliers 1s = requetes non indexees/cold",k6 run load.js,Round-trips Atlas + potentiels index manquants (a confirmer via explain),"Verifier index sur events/vendors/venues (filtres+tri+pagination), mesurer sur Render",M,Elintys-api/src/modules/events,0
F-022,accessibilite,P2,confirme,Bouton sans nom accessible (button-name critical) sur la landing,axe wcag2aa sur / => 1 violation critical 'Buttons must have discernible text' x1,Utilisateur lecteur d ecran ne peut identifier ce bouton; echec WCAG 4.1.2,node a11y-perf.mjs page landing,Bouton icon-only sans aria-label (viole la regle CLAUDE.md a11y),Ajouter aria-label sur le bouton icon-only concerne,S,Elintys-web/src/components/landing,0
F-023,accessibilite/design,P2,confirme,Contraste insuffisant x8 (color-contrast serious) sur /evenements,"axe => 1 violation serious color-contrast, 8 noeuds < ratio WCAG AA",Texte peu lisible (malvoyants); echec WCAG 1.4.3,node a11y-perf.mjs page evenements,Tokens muted/border du design system sous le ratio 4.5:1 sur surface claire,Ajuster les tokens de couleur texte secondaire (muted #6B7A99) pour AA,M,Elintys-web/src/app/(public)/evenements,0
F-024,performance,P3,indicatif,CWV degrades en dev (inscription LCP 8.1s/TTFB 6.3s) — a remesurer en prod,"next dev: LCP landing 3.68s, evenements 4.4s, inscription 8.16s (compile-on-demand); CLS<0.01 partout (bon)",Mesures dev non representatives; besoin d une mesure sur build prod + Render pour verdict perf front,node a11y-perf.mjs (mode dev),next dev non optimise + compile a la demande,Remesurer via next start (build prod) et Lighthouse sur previews Vercel,M,Elintys-web,0
F-025,base_de_donnees/securite,P3,corrige_f028,Index unique legacy sur champ 'token' optionnel des invitations (risque E11000),"invitation.schema: token? optionnel + index token_1 UNIQUE (non sparse visible); code actuel utilise tokenHash (sha256 de randomBytes32), select('-token -tokenHash'); 1 seule invitation en base",Si index non sparse: 2e invitation sans token => duplicate key null; champ legacy inutile,Creer 2 invitations sans token => verifier E11000; db.invitations.getIndexes() pour flag sparse,"Design historique avec token brut, migre vers tokenHash sans nettoyer l ancien champ/index","Supprimer le champ token legacy et son index (migration), garder tokenHash",S,Elintys-api/src/modules/invitations/invitations.schema.ts,47
F-026,securite/design,P0-neg,confirme,POSITIF: gestion des tokens d invitation robuste + indexation Mongo soignee,"randomBytes(32) base64url + sha256 stocke (jamais le token brut); index composes events(organizer+status, city+status, eventType+status+visibility), unique email/slug/qrCode, TTL invitations.expiresAt",Bonne hygiene cryptographique et perf DB de base,Lecture schema + db.getIndexes(),Bonne conception,Maintenir,-,Elintys-api/src/modules/invitations/invitations.service.ts,48
F-027,base_de_donnees/securite,P1,corrige_lot3,Divergence mapping migration vs runtime: private+manualApproval+allowedEmailDomain degrade en unlisted (approbation manuelle perdue),Comparaison en memoire planEventAccessMigration vs normalizeLegacyEventAccess: migration => unlisted/email_domain ; runtime => private/manual_approval. Ordre de priorite different (migrate-event-access-v2.ts:67 teste allowedEmailDomain avant manualApproval:83 ; policy.ts:72 teste manualApproval en premier),Un evenement prive cumulant approbation manuelle et domaine autorise devient atteignable par lien direct sans approbation apres migration = regression de confidentialite. Exposition dev = 0 document ; risque reel en production,npx ts-node combos.ts (comparaison des 9 cas legacy),Ordre des branches conditionnelles divergent entre le script de migration et le normalizer runtime,Aligner l ordre de priorite du script sur event-access.policy.ts (manualApproval prioritaire) et ajouter un test comparatif des deux fonctions,S,Elintys-api/src/scripts/migrate-event-access-v2.ts,67
F-028,fonctionnel/base_de_donnees,P1,corrige_f028,invitations.token_1 UNIQUE non-sparse + create() ne pose jamais token => E11000 a la 2e invitation masque en INVITATION_ALREADY_SENT,Index live elintys-dev: token_1 unique=true sparse=false ; invitations.service.ts:52-61 cree avec tokenHash+tokenPrefix sans token ; catch:62-67 traduit tout 11000 en INVITATION_ALREADY_SENT ; base actuelle: 1 invitation possedant un token,La 2e nouvelle invitation echouera avec un message trompeur (invitation deja envoyee) pour un email/evenement different: fonctionnalite invitation cassee et diagnostic errone. Bloque les modes d acces invitation_token de Access V2,Creer 2 invitations vers des emails differents => la 2e leve E11000 (reproduction empirique non faite: ecriture interdite en phase A),Champ token legacy conserve avec index unique non-sparse alors que le code est passe a tokenHash,Rendre l index sparse ou supprimer le champ token legacy et son index (migration dediee); ne pas mapper 11000 aveuglement sur INVITATION_ALREADY_SENT,M,Elintys-api/src/modules/invitations/invitations.service.ts,52
F-029,devops/securite,P2,corrige_lot3,Script de migration Access V2 sans aucune garde d environnement,"grep ELINTYS_ENV/elintys-dev dans migrate-event-access-v2.ts => 0 ; main() se connecte a MONGODB_URI sans verifier la base, contrairement a seed-development.ts qui impose elintys-dev",Le script peut migrer n importe quelle base y compris la production elintys si le .env pointe ailleurs; risque d alteration massive de donnees reelles,Lire migrate-event-access-v2.ts:102-110,Garde de securite presente dans le seed mais non repliquee dans la migration,Ajouter assert equivalent a assertDevelopmentSeedAllowed (ELINTYS_ENV=dev + base attendue) avant toute ecriture,S,Elintys-api/src/scripts/migrate-event-access-v2.ts,102
F-030,seo,P3,corrige_lot3,11 evenements publies absents du sitemap (filtre discoverability sur donnees legacy),"sitemap.ts:18 filtre event.discoverability === 'public' ; les 11 evenements legacy n ont pas ce champ donc sont exclus, bien que publies et servis par l API via le \$or retro-compatible",Perte d indexation SEO pour 11 evenements publies; corrige automatiquement par la migration Access V2 (effet positif a annoncer),Comparer /sitemap.xml avant/apres migration,Le sitemap ne gere pas la retro-compatibilite legacy contrairement aux services backend,Migrer (corrige) ou aligner le filtre du sitemap sur la logique \$or retro-compatible,S,Elintys-web/src/app/sitemap.ts,18
F-031,securite/devops,P2,corrige_lot3,URI MongoDB de PRODUCTION commentee dans le .env de developpement,Elintys-api/.env:7 => # MONGODB_URI=...mongodb.net/elintys?... (prod) juste au-dessus de la ligne active elintys-dev,"Un decommentage accidentel fait pointer tous les scripts (seed, migration, backup) sur la base de production",Lire .env:7 et .env:9,Ancienne configuration laissee en commentaire,Supprimer la ligne ou externaliser les URI par environnement (gestionnaire de secrets),S,Elintys-api/.env,7
F-032,base_de_donnees/fonctionnel,P2,corrige_f032,Index orphelin invitedBy_1_email_1 UNIQUE plus strict que l index metier du schema,Index live invitations: invitedBy_1_email_1 UNIQUE present en base mais ABSENT du schema Mongoose (qui declare invitedBy+email+eventId+type),"Interdit au meme inviteur d inviter la meme adresse pour deux evenements ou deux types differents, contrairement a l intention du schema",Inviter le meme email sur 2 evenements differents depuis le meme compte => E11000 sur invitedBy_1_email_1,Index metier historique a 2 champs non supprime lors du passage a l index a 4 champs,Supprimer invitedBy_1_email_1 (hors autorisation du lot F-028) apres validation explicite,S,Elintys-api/src/modules/invitations/invitation.schema.ts,76
F-033,securite/robustesse,P2,corrige_sprint1,"ObjectId malformé en paramètre de route => HTTP 500 non gere","GET /events/pas-un-objectid, GET /events/123, GET /events/abc/publish-readiness, PATCH /events/abc => 500 avant correctif (authentifie); 400 INVALID_OBJECT_ID apres","Erreurs 500 declenchables a volonte par un utilisateur authentifie: pollution des logs, fuite de comportement interne (CastError Mongoose)","curl -b session http://localhost:3001/api/v1/events/pas-un-objectid","Identifiant de route non valide atteignant Mongoose sans validation prealable (CastError non geree)","ParseObjectIdPipe applique aux 18 parametres :id/:eventId du controleur evenements",S,Elintys-api/src/modules/events/events.controller.ts,0
